data_snap_source,tweet_date,user_name,tweet_text,word_count,image_tweet_text,image_description,image_subjects,image_contains_face,detected_persons,chapter_code,pmi_scores,pmi_sum,hedge_count,booster_count,epistemic_stance,epistemic_density,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_abs,selection_score
AZ_25,9-Apr,@ChildrensHD,"🔥@PierreKory 'enraged' over hospital's fixation with vaccine status

""Tell me what the difference is treating a vaccinated or unvaccinated child who has an illness? Why does it matter?""",29,"TV Children's Health Defense, Arizona Chapter reposted tah Children’s Health Defense @ @ChildrensHD - Apr 9 Jou @ @PierreKory ‘enraged’ over hospital's fixation with vaccine status “Tell me what the difference is treating a vaccinated or unvaccinated child who has an illness? Why does it matter?” U rT = || | || = we / || } iD | | ] _ ae . ! - | [al Z 17] yee Pitccen Heal pesense ry Je i . i q / a ae Kory, M.D. ak ” = BRM Fe erreKoryMedicalMusings com Vex Sage ole a (a TO SEIN A MEDICAL RECORD, INA EVERY INTRODUCTION f 1:07 3 stl : sails m | ‘er $n. ganic yeaningney © 163 T1.9k 0 5.2K tlt 104K As",A screenshot of a video conference with three participants in separate panels. The image shows what appears to be a discussion from Children's Health Defense TV. The panels show three individuals in what looks like a video interview format. The bottom of the image has a banner with CHD TV branding.,"video conference, interview panels, bookshelf backgrounds",True,Individuals in a video conference,AZ,"{('vaccine', 'fixation'): 6.6293566200796095, ('vaccine', 'status'): 6.6293566200796095, ('vaccine', 'tell'): 6.6293566200796095, ('vaccinated', 'treating'): 6.6293566200796095, ('vaccinated', 'unvaccinated'): 6.6293566200796095, ('vaccinated', 'child'): 6.6293566200796095}",39.77613972047766,0,0,Neutral,0.0,-0.8048,0.026,0.058,0.916,0.8048,4.6096
AZ_48,16-Mar,@CHDArizona,"Finally, some common sense in DC. Thanks @RepThomasMassie !",8,"Thomas Massie comments on the House Passing His Amendment to Prohibit mRNA Vaccine Factories: ""Scientists, funded with your tax dollars, are trying to turn edible plants like lettuce and spinach into mRNA vaccine...""","A screenshot of a video showing a person speaking at a podium in what appears to be the House of Representatives chamber. The image has a caption that reads ""REP. MASSIE: 'I THINK IT'S DANGEROUS TO PLAY GOD WITH OUR FOOD' 9/27/2023"" and ""AT THE DESK."" There's a timestamp of 4:11 visible in the corner.","congressional chamber, speaker, podium",True,Representative Thomas Massie,AZ,"{('mrna', 'vaccine'): 4.727920454563199, ('vaccine', 'mrna'): 4.727920454563199, ('mrna', '.'): 3.727920454563199, ('vaccine', '.'): 4.312882955284356}",17.49664431897395,0,0,Neutral,0.0,0.69,0.125,0.0,0.875,0.69,4.38
AZ_58,8-Mar,@CHDArizona,"New to the vaccine debate? Did you know there is aluminum in many vaccines? And studies implicate an association between injectable aluminum and motor neuron issues. Think Parkinson's, Lou Gehrig's, and Alzheimer's. Safe? 👎",36,"VACCINE WARS, Dispatches From the Vaccine Wars, FIGHTING FOR HUMAN FREEDOM",A promotional image with the text 'VACCINE WARS' in large white letters on an olive green background. Below it in smaller text is 'Dispatches From the Vaccine Wars' and 'FIGHTING FOR HUMAN FREEDOM'. The image appears to be promoting content from childrenshealthdefense.org.,"text, promotional content",False,,AZ,"{('vaccine', '?'): 3.7369655941662057, ('vaccine', 'wars'): 4.321928094887363, ('vaccine', ','): 3.321928094887362}",11.38082178394093,1,1,Mixed,4.25531914893617,-0.5958,0.129,0.193,0.677,0.5958,4.106062229128612
AZ_30,10-Apr,@CHDAr...,Please protect your babies. Just say no to mRNA injections! #StopTheShots,11,"9 Million U.S. Children Still Receiving COVID-19 mRNA Injections May Be Producing Toxic Spike Protein in Vital Organs, New Study Suggests","The image shows a medical professional examining an X-ray or medical scan. The person is holding up what appears to be a radiological image while sitting at a desk with multiple medical scans displayed on screens in the background. Text overlay at the bottom of the image reads 'SO THESE PATIENTS, THEY HAD' with 'PATIENTS' highlighted in yellow. There's a timestamp of 0:48 visible in the corner, suggesting this is a screenshot from a video.","medical professional, X-ray/medical scan, computer screens",True,Unidentified medical professional,AZ,"{('mrna', 'injections'): 4.357552004618084, ('injections', 'mrna'): 4.357552004618084}",8.715104009236168,2,0,K- (low certainty),5.88235294117647,0.636,0.197,0.059,0.745,0.636,3.897373743023704
AZ_21,11-Apr,@CHDArizona,Be your own advocate. Stop mRNA injections today. Don't wait for government to save you and your family. #StopTheShots,20,"Which poses the greater threat to Americans today — Fruit Loops or COVID-19 mRNA injections? If you or a loved one dies from cardiac arrest, pulmonary embolism, or turbo cancer, a safer breakfast cereal won't... Show more","The image shows what appears to be fried food items being cooked in oil. There's a gloved hand visible holding what looks like a cooking utensil. The image has text overlay at the bottom saying 'FOOD INDUSTRY, BUT REALLY, IF' and includes a timestamp of 0:50, suggesting this is a screenshot from a video.","food, cooking, frying, kitchen equipment",False,,AZ,"{('mrna', '.'): 3.604862058158861, ('mrna', 'injections'): 5.189824558880018, ('injections', '.'): 3.604862058158861, ('injections', 'mrna'): 5.189824558880018}",17.58937323407776,0,1,Neutral,1.724137931034483,0.0,0.17,0.17,0.659,0.0,3.2586206896551726
AZ_24,10-Apr,@CHDArizona,"""The burden of proof is no longer on parents, whistleblowers, or independent researchers. It now lies squarely on those who mandated, manufactured, and monetized these interventions while dismissing the growing chorus of concern—and ignoring signals of harm hiding in plain sight""",42,"NEW STUDY: Vaccines and Autism—A Dose-Dependent Link Confirmed

The burden of proof has shifted.
...
Show more","A screenshot of a journal article titled 'Evidence Showing Childhood Vaccinations Are Causing Autism and Other Intellectual Disabilities' from the International Journal of Vaccine Theory, Practice, and Research (IJVTPR). The article shows an author name (Nina Bjelogrlic) and the beginning of an abstract discussing claimed associations between vaccines and neurodevelopmental disorders, referencing Donald Trump and Robert F Kennedy Jr.","journal article, academic paper, abstract",False,,AZ,,0.0,0,4,K+ (high certainty),6.666666666666667,-0.9477,0.024,0.271,0.705,0.9477,2.8954
AZ_68,4-Mar,@CHDArizona,"Thanks for clearing things up, @BrianHookerPhD ! #StopTheShots",7,"The truth about the MMR vaccine from @BrianHookerPhD. The MMR vaccine has been shown to cause ""febrile seizures, anaphylaxis, meningitis, encephalitis, thrombocytopenia, arthritis and vasculitis,"" as well as ""encephalopathy with...",The image shows a video screenshot of a person wearing glasses and a dark shirt speaking to the camera. The video has a timestamp of 1:32 and includes a caption at the bottom that reads 'SAFETY TESTED BECAUSE THEY STARTED INCREASING THE VIRAL LOAD IN'. The Children's Health Defense logo appears in the top right corner of the video.,"person, video frame, caption text",True,,AZ,"{('vaccine', 'mmr'): 4.78135971352466}",4.78135971352466,0,1,Neutral,2.702702702702703,0.7644,0.178,0.0,0.822,0.7644,2.8904773481103376
AZ_104,11-Feb,@CHDArizona,Gotta share this with everyone you know. And it's only the beginning! #StopTheShots,14,VACCINE SECRETS: The vaccines we're told to inject in our children have never been tested against a true placebo. New vaccines are intentionally tested against other vaccines or aluminum to make it harder to distinguish adverse ... Show more,A screenshot of a tweet from Children's Health Defense that includes an image from what appears to be a video (1:30 duration). The image shows a graphic with text asking 'Has The Entire Vaccine Schedule Been Safety Tested?' and 'HAS THE ENTIRE VACCINE SCHEDULE FOR KIDS BEEN SAFETY TESTED?' with a hand pointing to a button labeled 'NO' and text stating 'THE ANSWER IS NO.' At the bottom is text directing viewers to 'Watch the full video at ChildrensHD.org/vaccinesecrets' along with the Children's Health Defense logo.,"tweet, graphic, text, hand illustration, button",False,,AZ,"{('vaccines', 'tested'): 4.392317422778761}",4.392317422778761,0,4,K+ (high certainty),7.547169811320755,0.4199,0.093,0.044,0.863,0.4199,2.8503389562538657
AZ_90,22-Feb,@CHDAr...,Super time at the Tucson Peace Fair today. Immensely grateful to our committed volunteers who show up to save kids they don't even know. It's the power of love and compassion. #StopTheShots,34,"Children's Health Defense, Arizona... @CHDAr...- Feb 22 (J --- Super time at the Tucson Peace Fair today. Immensely grateful to our committed volunteers who show up to save kids they don’t even know. It’s the power of love and compassion. #StopTheShots 1 MN ¢ grape i] 7 = va + eye mt . ) : te ri : 4 By 01 v1 05 ih 131 As","A booth set up at the Tucson Peace Fair with a white canopy tent. The booth appears to be for Children's Health Defense organization with various signs and banners including 'My Body My Choice' and 'Parents Call The Shots'. Several people are standing around the booth, and there are information materials displayed on tables. The setting is outdoors with palm trees and other vegetation visible in the background.","booth, tent, signs, banners, outdoor event, information table",True,No clearly identifiable public figures,AZ,,0.0,0,4,K+ (high certainty),4.210526315789473,0.9939,0.391,0.0,0.609,0.9939,2.619378947368421
AZ_55,11-Mar,@CHDAr...,That's a roll of the dice that doesn't bode well for your son's. #StopTheShots,17,The truth about the MMR vaccine and autism. Boys vaccinated with their first MMR vaccine on time were 67% more likely to get diagnosed with autism compared to those boys who got their first vaccine after their third birthday.,"A screenshot of another tweet from Children's Health Defense with text overlay about MMR vaccines. The background is blurry, and the text claims that boys vaccinated with their first MMR vaccine on time were 67% more likely to get diagnosed with autism compared to those who received it after their third birthday. The Children's Health Defense logo appears in the corner.","text overlay, vaccine information, Children's Health Defense branding",False,,AZ,"{('vaccine', 'mmr'): 4.415037499278844, ('vaccine', 'first'): 4.415037499278844}",8.830074998557688,1,1,Mixed,3.571428571428571,0.1245,0.042,0.033,0.925,0.1245,2.5507292854258234
