data_snap_source,tweet_date,user_name,tweet_text,word_count,image_tweet_text,image_description,image_subjects,image_contains_face,detected_persons,chapter_code,pmi_scores,pmi_sum,hedge_count,booster_count,epistemic_stance,epistemic_density,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_neu
MAIN_01,4h,@ChildrensHD,"🚨 BREAKING: @DrMakaryFDA announces COMPLETE removal of petroleum based food dyes

""Moms across America have spoken.""",15,MOMS ACROSS AMERICA HAVE SPOKEN,The image shows a press conference or announcement setting with a person in a suit and tie speaking at a podium. Behind the speaker are several flags including the American flag and what appears to be a Department of Health flag or seal. There's a 'LIVE' indicator in the corner and a banner at the bottom that reads 'MOMS ACROSS AMERICA HAVE SPOKEN' along with a 'CHD TV' logo.,"press conference, podium, flags, government setting",True,Government official,MAIN,,0.0,0,0,Neutral,0.0,0.0,0.0,0.0,1.0
MAIN_10,3h,@ChildrensHD,.@DrPaulOffit whines about mRNA 'vaccine' advancement 👇,6,"""I think we're about to see all MRNA research being eliminated, which is remarkable to me. I mean, this vaccine, the MRNA vaccines, probably saved about 3 million lives."" Apparently, he doesn't know those same ""vaccines""",A screenshot of a video call showing two people in conversation. The image shows a split-screen video call with a beach/ocean background visible for the person on the bottom portion. The video has a timestamp of 0:32 and includes a caption at the bottom that reads 'ABOUT 3 MILLION LIVES.',"video call, people, beach background",True,,MAIN,"{('mrna', ""'""): 3.3692338096657193, ('mrna', 'vaccine'): 4.369233809665719, ('vaccine', 'mrna'): 4.369233809665719, ('vaccine', ""'""): 3.9541963103868754, ('vaccine', ','): 3.6322682154995127, ('mrna', ','): 3.0473057147783567, ('vaccines', ','): 3.6322682154995127, ('vaccines', '""'): 3.9541963103868754}",30.32793619554829,2,1,K- (low certainty),6.818181818181817,0.5574,0.123,0.054,0.824
MAIN_100,17-Apr,@ChildrensHD,"Hey @SenWarren, what have you done to get to the root cause of the autism epidemic? We'll wait.",19,"I won't share RFK Jr.'s lies about autism. It's disgusting and dangerous. If he had a shred of decency, he would apologize and resign.... Show more",A screenshot of a tweet from Senator Elizabeth Warren responding to a question about autism,"tweet, social media post",True,,MAIN,,0.0,1,1,Mixed,4.166666666666666,-0.904,0.026,0.256,0.717
MAIN_101,16-Apr,@JohnBeau...,"Vx's are included in ""environmental factors."" Most of the comments miss the mark. People don't understand he's first differentiating the nature vs nurture issue. Then the studies he is commissioning will determine WHICH environmental factors most likely cause autism. This is",44,BREAKING: @RobertKennedyJr says autism epidemic is caused by environmental factors,"The image shows a person in a suit speaking at what appears to be an official podium with Department of Health and Public Health flags/banners in the background. The image has a caption overlay that reads 'GREATEST RESOURCE, WHICH ARE CHILDREN.' There's also a 'LIVE' indicator and a CHD TV logo in the corner.","speaker, podium, government flags, official setting",True,Robert F. Kennedy Jr.,MAIN,,0.0,1,1,Mixed,3.703703703703703,0.2023,0.045,0.03,0.925
MAIN_102,17-Apr,@JimFergusonUK,"🚨 CDC WHISTLEBLOWER: ""WE HID THE TRUTH ABOUT AUTISM."" 🚨

In secretly recorded calls, senior CDC scientist Dr. William Thompson made a STUNNING admission:

🗣️ ""We lied. We omitted data. The MMR vaccine showed an association with autism — and we COVERED IT UP""

👉 The target?
Show more",44,THAT IS WHEN BILL THOMPSON MADE THE ADMISSION THAT,A screenshot of what appears to be a video player showing a CDC sign and a person labeled as 'Dr William Thompson'. The video has a timestamp of 1:29 and shows '2015' in the corner along with 'CHDTV' branding. The image includes a video play button in the center.,"CDC sign, video player, text overlay",True,,MAIN,,0.0,0,2,K+ (high certainty),3.773584905660377,0.3885,0.087,0.065,0.848
MAIN_103,16-Apr,@ChildrensHD,"'Genes Do Not Cause Epidemics': Kennedy Lambastes Media for Denying Autism Epidemic, Vows to Research Environmental Triggers",17,"""So we know what the historic numbers are and we know what the numbers are today, and it's time for everybody to stop attributing this to this ideology of...""","The image shows a split composition with a person in a suit speaking at a podium on the left side, and a medical clipboard or tablet with the word 'Autism' on it on the right side. The person appears to be speaking at an official government event based on the backdrop visible.","person at podium, medical clipboard, autism label",True,Robert F. Kennedy Jr.,MAIN,,0.0,0,2,K+ (high certainty),4.25531914893617,-0.5574,0.0,0.095,0.905
MAIN_104,8-Apr,@ChildrensHD,"The Media Playbook for Measles Looks a Lot Like Its COVID Playbook — This Time, Kids Are the Pawns

The media would have you believe that measles is a ""deadly"" disease. But any suggestion that MMR vaccines are safer than measles infection isn't supported by facts.
by Mary Holland, J.D....",51,"TV Children’s Health Defense reposted ta Children’s Health Defense @ @ChildrensHD - Apr 8 Boor q “ at } f 1 . ) i \ ; e.. Ay hg ( j | je . = CaN 2 Ss / The Media Playbook for Measles Looks a Lot Like Its COVID Playbook — This Time, Kids Are the Pawns The media would have you believe that measles is a “deadly” disease. But any suggestion that MMR vaccines are safer than measles infection isn’t supported by facts. by Mary Holland, J.D.... Os t1 50 O17 ih 55K As","The image shows a child with light brown hair in a blue shirt looking at chess pieces on what appears to be a chess board. The child is positioned behind black chess pieces, suggesting a chess game in progress. The background appears to be a classroom or learning environment with blurred educational materials.","child, chess pieces, chess board, educational setting",True,,MAIN,"{('vaccines', 'suggestion'): 6.499845887083206, ('vaccines', 'mmr'): 6.499845887083206, ('vaccines', 'safer'): 6.499845887083206}",19.49953766124962,4,2,K- (low certainty),4.37956204379562,0.9372,0.118,0.015,0.866
MAIN_106,17-Apr,@wideawake_media,"According to Dr. Anthony Phan, autism didn't exist in Vietnam until ""Bill Gates and the Gates Foundation introduced the vaccination program"". ""Now Vietnam has over a 300% rise in autism."" Credit: @ChildrensHD",33,"1 Children’s Health Defense reposted Wide Awake Media @ @wideawake media « Apr 17 Boor According to Dr. Anthony Phan, autism didn't exist in Vietnam until ""Bill Gates and the Gates Foundation introduced the vaccination program’. “Now Vietnam has over a 300% rise in autism."" Credit: @ChildrensHD ‘\ * Se | Wi) i : : yA = = © 409 T14Kk © 34k tht 651k As","A video screenshot showing a person speaking in what appears to be an interview setting. The person is wearing a white shirt with a dark jacket. The video has a timestamp of 0:30 visible in the corner, and there are logos for 'CHD TV' and 'AX ED.com' visible in the frame.","person speaking, interview setting",True,Person in interview,MAIN,"{('vaccination', 'foundation'): 6.011227255423254, ('vaccination', 'introduced'): 6.011227255423254, ('vaccination', 'program'): 6.011227255423254, ('vaccination', '.'): 4.426264754702098}",22.45994652097186,0,0,Neutral,0.0,0.6908,0.066,0.0,0.934
MAIN_107,16-Apr,@uTobian,"No matter how much you hate the @nytimes, you don't hate them enough. What is this ""Miracle Mineral"" you ask? Fluoride, a known neurotoxin.",25,Magical Thinking About a Miracle Mineral,"A screenshot of a New York Times opinion article headline that reads 'Magical Thinking About a Miracle Mineral' by Zeynep Tufekci, dated April 16, 2025.","newspaper article, headline",False,,MAIN,,0.0,0,1,Neutral,3.225806451612903,0.8188,0.275,0.116,0.609
MAIN_109,16-Apr,@ChildrensHD,The truth about living with autism ⬇️,6,"Polly Tommey: ""These vaccines took away our children as they should have been today."" @BrianHookerPhD: ""Precisely. They took away our children's future. They took away their hopes and dreams and aspirations.""",A screenshot of what appears to be a video segment from CHD TV (Children's Health Defense TV). The image shows two individuals in separate video panels - one on the left and one on the right. Both appear to be in interview settings with bookshelves visible in the background of the right panel. The bottom of the image has a banner that reads 'BILLY WAS VACCINE INJURED' and the CHD TV logo.,"video interview panels, CHD TV branding, text overlay",True,[],MAIN,,0.0,0,1,Neutral,2.631578947368421,0.7783,0.178,0.0,0.822
